Index,City,Cloudiness,Country,Date,Humidity,Lat,lng,Max Temp,Wind Speed
117,Shenjiamen,49,CN,1563494906,93,29.96,122.3,78.35,23.62
118,Cabra,0,ES,1563494906,44,37.47,-4.43,80.6,4.7
119,Hermanus,100,ZA,1563494907,88,-34.42,19.24,57.99,13.0
120,Khatanga,8,RU,1563494907,41,71.98,102.47,61.79,7.58
121,Roebourne,68,AU,1563494907,17,-20.77,117.15,68.63,8.08
122,Norman Wells,40,CA,1563494907,36,65.28,-126.83,77.0,12.75
123,Barrow,11,AR,1563494907,54,-38.31,-60.23,44.33,5.57
124,Nemuro,75,JP,1563494907,93,43.32,145.57,66.2,6.93
125,Chuy,100,UY,1563494907,86,-33.69,-53.46,56.03,7.36
126,Dikson,85,RU,1563494908,76,73.51,80.55,44.51,6.06
127,Loudi,52,CN,1563494908,85,27.73,112.0,77.45,5.32
128,The Pas,90,CA,1563494908,93,53.82,-101.24,62.6,4.7
129,Sur,0,OM,1563494908,70,22.57,59.53,79.79,11.97
130,East London,66,ZA,1563494908,35,-33.02,27.91,61.07,5.99
131,Knysna,33,ZA,1563494908,59,-34.04,23.05,64.4,10.29
132,Kushiro,75,JP,1563494909,100,43.11,144.15,62.6,12.75
133,Chernyshevskiy,0,RU,1563494909,50,63.01,112.47,53.33,10.71
134,Aswan,0,EG,1563494909,19,24.09,32.9,96.8,11.41
135,Plattsburgh,20,US,1563494909,61,44.69,-73.46,81.0,4.7
136,Airai,37,TL,1563494909,56,-8.93,125.41,76.73,0.47
137,Santa Ines,40,EC,1563494909,66,-0.82,-78.63,55.4,16.11
138,Bambous Virieux,75,MU,1563494909,73,-20.34,57.76,71.6,17.22
139,Proletarskiy,0,RU,1563494910,72,50.79,35.77,59.0,6.71
140,Greenwood,38,CA,1563494910,22,49.09,-118.68,66.65,8.05
141,Kruisfontein,61,ZA,1563494910,68,-34.0,24.73,57.11,7.18
142,Palasbari,75,IN,1563494910,94,26.14,91.55,84.2,2.64
143,Bandarbeyla,49,SO,1563494910,59,9.49,50.81,75.11,26.73
144,Buraydah,0,SA,1563494661,27,26.33,43.97,87.8,4.7
145,Waipawa,77,NZ,1563494910,83,-39.94,176.59,50.0,5.01
146,Riohacha,20,CO,1563494806,74,11.54,-72.91,86.0,9.17
147,Tuktoyaktuk,75,CA,1563494911,76,69.44,-133.03,55.4,5.82
148,Talaya,90,RU,1563494911,100,55.79,84.89,62.6,2.24
149,Zonguldak,22,TR,1563494911,70,41.25,31.83,73.31,5.21
150,Dale,100,CN,1563494912,86,24.09,109.99,82.85,3.71
151,Abilene,1,US,1563494912,37,32.45,-99.73,98.6,16.11
152,Selje,100,NO,1563494913,87,62.05,5.35,59.0,8.05
153,Hithadhoo,99,MV,1563494913,75,-0.6,73.08,81.77,19.64
154,Parintins,52,BR,1563494913,92,-2.63,-56.73,73.67,1.19
155,La Ronge,75,CA,1563494913,64,55.1,-105.3,69.8,10.29
156,Kinango,0,KE,1563494913,84,-4.13,39.32,68.09,7.85
157,Castro,90,CL,1563494914,87,-42.48,-73.76,48.2,14.99
158,Zelenogorskiy,90,RU,1563494914,100,55.03,87.0,60.8,4.47
159,Bethel,90,US,1563494914,72,60.79,-161.76,60.8,8.05
160,Hualmay,29,PE,1563494914,85,-11.1,-77.61,61.25,17.85
161,Abu Dhabi,0,AE,1563494646,79,24.47,54.37,89.6,2.24
162,Virginia Beach,20,US,1563494839,62,36.85,-75.98,91.4,13.87
163,Skrunda,18,LV,1563494915,100,56.68,22.02,48.2,4.21
164,Bosaso,86,SO,1563494915,56,11.28,49.18,89.33,17.07
165,Tiksi,95,RU,1563494915,85,71.64,128.87,38.39,10.49
166,Alofi,90,NU,1563494915,88,-19.06,-169.92,77.0,13.87
167,Port Lincoln,0,AU,1563494916,86,-34.72,135.86,55.31,16.42
168,Beloha,0,MG,1563494916,64,-25.17,45.06,63.23,5.46
169,Te Anau,100,NZ,1563494916,87,-45.41,167.72,43.25,1.88
170,Aksu,0,KZ,1563494916,93,52.04,76.93,64.4,4.47
171,Pecos,1,US,1563494916,19,31.42,-103.49,104.0,17.22
172,Kibre Mengist,16,ET,1563494917,96,5.87,38.99,49.55,1.61
173,General Cepeda,75,MX,1563494917,37,25.38,-101.48,82.4,17.22
174,Kieta,47,PG,1563494917,73,-6.22,155.63,83.57,10.87
175,Nome,40,US,1563494917,66,30.04,-94.42,91.0,10.29
176,Raudeberg,100,NO,1563494917,87,61.99,5.14,59.0,8.05
177,Tazovskiy,1,RU,1563494917,85,67.47,78.7,62.15,13.76
178,Torbay,20,CA,1563494918,59,47.66,-52.73,63.0,11.41
179,Muncar,80,ID,1563494918,93,-8.43,114.34,72.41,1.83
180,Karatau,0,KZ,1563494918,56,43.18,70.46,70.0,5.75
181,Udachnyy,90,RU,1563494918,70,66.42,112.4,48.2,4.47
182,Leningradskiy,84,RU,1563494918,84,69.38,178.42,35.33,15.77
183,Caravelas,18,BR,1563494918,62,-17.73,-39.27,70.97,13.53
184,Preobrazheniye,43,RU,1563494918,68,42.9,133.91,75.83,3.62
185,Seoul,20,KR,1563494839,74,37.57,126.98,82.4,2.24
186,Sovetskiy,15,RU,1563494919,96,56.76,48.47,58.73,4.97
187,Trincomalee,93,LK,1563494919,74,8.58,81.23,79.43,11.18
188,Goderich,83,CA,1563494919,75,43.74,-81.71,82.99,11.99
189,Aykhal,90,RU,1563494919,70,65.95,111.51,48.2,4.47
190,Kavaratti,100,IN,1563494919,73,10.57,72.64,83.03,34.18
191,San Patricio,100,PY,1563494919,94,-26.98,-56.83,59.63,8.66
192,Esperance,10,AU,1563494668,87,-33.86,121.89,48.2,14.99
193,Morehead,1,US,1563494920,88,38.18,-83.43,78.8,4.7
194,Rancho Palos Verdes,20,US,1563494687,68,33.75,-118.37,86.0,17.22
195,Aksarka,82,RU,1563494920,86,66.56,67.8,65.93,3.11
196,Port Hardy,90,CA,1563494920,93,50.7,-127.42,55.4,4.7
197,Robertsport,100,LR,1563494920,90,6.75,-11.37,76.01,7.65
198,Santa Cruz,70,BR,1563494920,68,-6.22,-36.02,69.71,11.25
199,Sao Joao da Barra,0,BR,1563494921,72,-21.64,-41.05,66.2,3.04
200,Abu Kamal,0,SY,1563494922,45,34.45,40.92,76.55,14.74
201,Cap Malheureux,75,MU,1563494922,73,-19.98,57.61,71.6,17.22
202,Keti Bandar,66,PK,1563494922,79,24.14,67.45,82.67,12.46
203,Alta Floresta,0,BR,1563494922,64,-9.87,-56.08,75.2,2.82
204,Makarska,0,HR,1563494922,60,43.3,17.02,71.6,6.93
205,Souillac,0,FR,1563494922,82,45.6,-0.6,66.0,4.7
206,Lavrentiya,99,RU,1563494923,80,65.58,-170.99,54.41,5.59
207,Langxiang,0,CN,1563494923,69,46.95,128.87,76.37,1.25
208,Moerai,12,PF,1563494923,70,-22.43,-151.33,69.35,15.1
209,Longyearbyen,75,NO,1563494923,86,78.22,15.63,39.2,20.8
210,Ribeira Grande,0,PT,1563494923,88,38.52,-28.7,72.95,12.01
211,Bandraboua,0,YT,1563494924,88,-12.7,45.12,71.6,6.93
212,Pombas,14,BR,1563494924,43,-15.9,-54.74,72.59,1.12
213,Dongsheng,0,CN,1563494924,84,29.72,112.52,77.99,9.44
214,Bani,76,YE,1563494924,79,16.02,42.93,88.07,6.13
215,Talnakh,0,RU,1563494924,48,69.49,88.39,64.4,22.37
216,Dourbali,100,TD,1563494924,84,11.81,15.86,77.99,7.63
217,Roura,0,GF,1563494766,88,4.73,-52.33,78.8,2.04
218,Narsaq,52,GL,1563494924,67,60.91,-46.05,57.2,13.87
219,Kuytun,0,RU,1563494925,69,54.34,101.51,68.09,1.28
220,Saint Pete Beach,1,US,1563494925,83,27.73,-82.74,89.01,5.82
221,Kiruna,12,SE,1563494925,87,67.86,20.23,46.4,3.36
222,Emba,40,CY,1563494925,83,34.81,32.42,75.2,5.82
223,Agua Branca,0,BR,1563494925,34,-5.89,-42.63,73.31,4.23
224,Jamestown,0,AU,1563494925,56,-33.21,138.6,51.35,6.35
225,Damietta,0,EG,1563494851,74,31.42,31.81,80.6,4.7
226,Dubti,51,ET,1563494926,41,11.74,41.09,89.87,4.27
227,Zhezkazgan,42,KZ,1563494926,35,47.8,67.71,72.23,12.88
228,Pevek,100,RU,1563494926,93,69.7,170.27,32.81,4.74
229,Egvekinot,100,RU,1563494926,90,66.32,-179.17,51.89,2.46
230,Chumikan,44,RU,1563494926,71,54.72,135.31,67.73,6.24
231,Kawanoe,75,JP,1563494926,88,34.02,133.57,75.99,2.24
232,Mayya,0,RU,1563494927,66,61.74,130.28,50.0,8.95
233,Gizo,40,IL,1563494927,73,31.8,34.94,77.0,4.7
234,Chongwe,0,ZM,1563494927,66,-15.33,28.68,50.0,2.24
235,Saldanha,0,PT,1563494654,51,41.42,-6.55,69.35,3.0
236,Acajutla,98,SV,1563494927,68,13.59,-89.83,84.29,4.32
237,Cherskiy,58,RU,1563494927,54,68.75,161.3,45.41,16.82
238,Lixourion,35,GR,1563494927,58,38.2,20.43,72.0,5.99
239,Rengo,27,CL,1563494927,100,-34.41,-70.86,42.8,2.24
